Month,Primary Energy Consumed by the Residential Sector,Electricity Sales to Ultimate Customers in the Residential Sector,End-Use Energy Consumed by the Residential Sector,Residential Sector Electrical System Energy Losses,Total Energy Consumed by the Residential Sector,Primary Energy Consumed by the Commercial Sector,Electricity Sales to Ultimate Customers in the Commercial Sector,End-Use Energy Consumed by the Commercial Sector,Commercial Sector Electrical System Energy Losses,Total Energy Consumed by the Commercial Sector,Primary Energy Consumed by the Industrial Sector,Electricity Sales to Ultimate Customers in the Industrial Sector,End-Use Energy Consumed by the Industrial Sector,Industrial Sector Electrical System Energy Losses,Total Energy Consumed by the Industrial Sector
1973 enero,1339.27,180.291,1519.56,438.081,1957.641,657.977,123.242,781.219,299.461,1080.68,2027.033,188.594,2215.627,458.255,2673.882
1973 febrero,1174.899,169.24,1344.139,368.004,1712.143,623.759,119.754,743.513,260.4,1003.913,1841.299,186.266,2027.565,405.027,2432.592
1973 marzo,983.374,158.027,1141.401,368.678,1510.079,492.136,118.296,610.433,275.987,886.42,1926.411,190.614,2117.025,444.704,2561.729
1973 abril,715.391,142.693,858.084,325.337,1183.421,363.393,113.86,477.253,259.598,736.851,1914.017,190.856,2104.873,435.147,2540.02
1973 mayo,535.914,135.883,671.797,334.528,1006.326,288.63,117.568,406.198,289.438,695.636,2076.468,193.93,2270.397,477.433,2747.831
1973 junio,366.934,153.428,520.362,394.587,914.949,226.461,128.668,355.129,330.908,686.037,1958.75,195.739,2154.488,503.402,2657.89
1973 julio,306.868,184.667,491.535,470.336,961.872,196.228,139.958,336.186,356.465,692.651,2016.833,195.004,2211.837,496.664,2708.501
1973 agosto,313.317,193.604,506.921,487.338,994.259,204.22,141.977,346.197,357.383,703.58,2135.416,200.847,2336.263,505.569,2841.831
1973 septiembre,342.204,191.787,533.991,403.091,937.083,208.169,142.112,350.281,298.685,648.966,2054.255,201.917,2256.172,424.381,2680.553
1973 octubre,448.425,161.072,609.497,368.665,978.162,264.373,129.858,394.231,297.223,691.453,2245.484,206.472,2451.956,472.58,2924.536
1973 noviembre,711.988,147.334,859.322,342.782,1202.105,389.108,123.731,512.839,287.869,800.708,2267.315,199.373,2466.688,463.855,2930.543
1973 diciembre,987.464,158.312,1145.776,392.791,1538.568,508.529,117.629,626.158,291.851,918.009,2224.341,191.312,2415.653,474.666,2890.319
1974 enero,1235.945,180.421,1416.367,430.563,1846.93,631.87,120.804,752.673,288.29,1040.963,1933.969,189.218,2123.187,451.556,2574.742
1974 febrero,1062.873,163.023,1225.897,363.551,1589.448,536.911,115.779,652.69,258.194,910.884,1868.858,186.975,2055.832,416.964,2472.797
1974 marzo,912.136,157.279,1069.415,381.658,1451.073,470.272,115.364,585.636,279.946,865.582,1919.32,190.438,2109.758,462.122,2571.881
1974 abril,723.904,147.376,871.28,343.948,1215.228,373.79,114.209,487.999,266.544,754.543,1786.181,191.463,1977.644,446.839,2424.483
1974 mayo,500.171,140.251,640.421,363.4,1003.821,265.331,117.768,383.098,305.145,688.244,1913.278,195.256,2108.534,505.924,2614.458
1974 junio,369.658,158.989,528.647,388.188,916.835,213.921,127.622,341.543,311.602,653.144,1867.318,196.88,2064.197,480.702,2544.9
1974 julio,318.421,182.68,501.101,491.564,992.665,194.741,137.243,331.983,369.299,701.283,1982.717,196.201,2178.918,527.948,2706.866
1974 agosto,297.214,193.458,490.672,475.688,966.36,196.811,141.677,338.487,348.364,686.852,2051.401,203.496,2254.897,500.369,2755.266
1974 septiembre,341.18,180.658,521.838,379.862,901.7,213.859,138.301,352.16,290.799,642.959,2074.652,204.356,2279.008,429.691,2708.699
1974 octubre,484.835,150.688,635.523,357.081,992.604,281.762,125.696,407.458,297.858,705.316,2221.308,205.116,2426.424,486.057,2912.482
1974 noviembre,645.39,145.593,790.983,357.233,1148.216,353.427,121.79,475.217,298.828,774.045,2125.764,195.081,2320.845,478.658,2799.503
1974 diciembre,1016.87,172.346,1189.216,440.674,1629.89,526.565,125.082,651.647,319.823,971.47,2016.982,182.314,2199.296,466.161,2665.457
1975 enero,1145.426,185.31,1330.735,447.758,1778.493,546.765,130.382,677.146,315.037,992.183,2079.626,193.155,2272.782,466.715,2739.496
1975 febrero,1090.754,172.288,1263.042,376.242,1639.284,522.317,125.812,648.129,274.748,922.877,1644.884,188.899,1833.783,412.518,2246.301
1975 marzo,997.785,164.59,1162.376,396.88,1559.255,467.955,125.211,593.167,301.925,895.091,1767.041,189.596,1956.636,457.175,2413.811
1975 abril,865.717,153.565,1019.282,356.926,1376.209,421.169,121.517,542.687,282.438,825.124,1466.501,187.596,1654.097,436.022,2090.119
1975 mayo,526.079,140.895,666.974,359.745,1026.718,260.027,123.524,383.551,315.391,698.942,1547.577,190.51,1738.087,486.426,2224.513
1975 junio,368.304,157.068,525.373,397.712,923.084,204.983,136.279,341.262,345.072,686.334,1612.573,193.752,1806.324,490.597,2296.922
1975 julio,318.568,185.358,503.926,477.042,980.968,186.913,147.303,334.217,379.103,713.32,1723.033,192.642,1915.675,495.789,2411.464
1975 agosto,303.802,196.734,500.536,489.375,989.911,188.711,150.743,339.454,374.973,714.427,1775.06,200.67,1975.73,499.165,2474.895
1975 septiembre,341.999,186.703,528.702,381.782,910.485,206.459,147.349,353.808,301.308,655.116,1818.89,203.271,2022.16,415.66,2437.821
1975 octubre,443.56,147.585,591.145,350.724,941.869,247.362,131.093,378.455,311.533,689.988,2015.62,204.348,2219.968,485.617,2705.585
1975 noviembre,582.293,144.289,726.582,343.297,1069.879,306.117,127.717,433.834,303.869,737.704,1912.422,202.258,2114.68,481.221,2595.901
1975 diciembre,1006.009,172.349,1178.358,436.955,1615.313,500.577,130.895,631.473,331.857,963.329,2037.122,199.666,2236.788,506.211,2742.999
1976 enero,1303.69,206.4,1510.09,503.047,2013.137,637.624,140.492,778.115,342.413,1120.528,1952.491,199.948,2152.44,487.323,2639.763
